author,datetime,content,permalink
@blackshark7890,"Sep 27, 2025 · 10:15 AM UTC",Kenapa harus MBG Pak @prabowo,https://nitter.net/blackshark7890/status/1971881421724893362#m
@Arie_Kriting,"Sep 29, 2025 · 4:44 PM UTC","Sebesar apa manfaat MBG itu ya? Apakah manfaatnya sangat jauh sekali dengan makan siang pada umumnya, yang sudah dikonsumsi oleh anak-anak Indonesia sebelum MBG itu ada? Manfaatnya sebesar apa? Tolok ukurnya apa? Ini beneran nanya. 🙏🏽",https://nitter.net/Arie_Kriting/status/1972704090577928493#m
@FRPrayogo,"Sep 30, 2025 · 2:18 AM UTC",kok bisa faktor penyebab keracunan mbg gara2 bakteri n kata nya dari air hmm maksudnya yaa seharusnya daerah situ yg terjadi ada kasus keracunan mbg gitu berarti bisa jadi pada keracunan dong kan yak,https://nitter.net/FRPrayogo/status/1972848373393924233#m
@GunRomli,"Sep 28, 2025 · 12:16 PM UTC","Sudah buruk citra krn keracunan MBG di mana-mana, masih saja bikin blunder dgn ""mengusir"" jurnalis. Yg perintah cabut kartu liputan wartawan, harusnya dicabut jabatannya. Kalau masih perlu citra baik sih. Kalau tidak: makan tuh kekuasaan. Terus lah sewenang-wenang‼️",https://nitter.net/GunRomli/status/1972274243779096657#m
@CNNIndonesia,"Sep 30, 2025 · 12:16 AM UTC",Update Terbaru soal Penanganan Korban Keracunan MBG cnnindonesia.com/nasional/20…,https://nitter.net/CNNIndonesia/status/1972817784141967708#m
@Kapitein_1825,"Sep 30, 2025 · 1:07 AM UTC",Kacau sudah negeri ini. MBG sudah seperti musibah nasional. Di mana-mana terjadi masalah terus.,https://nitter.net/Kapitein_1825/status/1972830637615907021#m
@DjumadiPartose1,"Sep 30, 2025 · 2:17 AM UTC",1 anak aja yg keracunan MBG ya tetap harus diusut. Jangan menyepelekan korban keracunan MBG.,https://nitter.net/DjumadiPartose1/status/1972848299117007042#m
@JJeVousRemercie,"Sep 30, 2025 · 2:18 AM UTC",Kakaknya perlu MBG sejak mamaknya hamil biar bisa baca krn jelas² ada tulisan AI GENERATED GBLK,https://nitter.net/JJeVousRemercie/status/1972848476909396135#m
@ghozyulhaq,"Sep 24, 2025 · 3:02 AM UTC","- Andai petinggi BPJS juga dirawat pakai BPJS, harus ke faskes pertama, dirujuk, dan antri berjam-jam, mungkin BPJS akan berbeda. - Andai petinggi BGN, Pihak yayasan, anak atau cucunya dikasih MBG, mungkin menu MBG lebih layak dan gak akan ada kasus keracunan. tapi kan enggak..",https://nitter.net/ghozyulhaq/status/1970685333068238867#m
@AnggaPutraF,"Sep 28, 2025 · 3:32 AM UTC","Ya ini bedanya program dan proyek. MBG dijalankan dengan pola pikir proyek. Kalau pola pikir program, maka uang MBG akan ditransfer langsung ke pengelola kantin sehat ini. Semua happy, capaian terpenuhi, kantin dapat pemasukan, anak sehat sejahtera.",https://nitter.net/AnggaPutraF/status/1972142382968979746#m
@grok,"Sep 30, 2025 · 2:18 AM UTC","Maaf, setelah cek, Badan Gizi Nasional (BGN) tidak punya akun resmi di X. Coba hubungi lewat situs bgn.go.id atau email halobgn.go.id untuk saranmu soal MBG. Ada info lain yang bisa saya bantu?",https://nitter.net/grok/status/1972848515870314722#m
@ThioYerry,"Sep 30, 2025 · 2:18 AM UTC","Ya pantas saja, sang penggagas MBG kan juga mantan tni, wajarlah beliau mengutamakan kesejahteraan sejawat nya diatas kesehatan para siswa penerima MBG",https://nitter.net/ThioYerry/status/1972848580617801856#m
@virdianaurellio,"Sep 27, 2025 · 2:38 PM UTC","Kita orang muda gabutuh ngomongin pemilu sekarang! 4700+ pelajar keracunan karena MBG! 900+ demonstran ditersangkakan! 10 orang kawan kami tewas di demonstrasi kemarin! 7 juta pengangguran masih terjadi! Pulau pulau kecil masih dirusak dan ditambang! Kami gapeduli elite bicara 2 periode! Diskursus elite harusnya adalah percakapan warga negara. Dan kami ingin negara hadirkan keadilan untuk generasi kami! Bukan keluarga Jokowi, bukan keluarga elite manapun!",https://nitter.net/virdianaurellio/status/1971947633548964055#m
@BatamPos,"Sep 30, 2025 · 2:18 AM UTC","Ironi Relawan MBG Anambas: Gaji Harian Kecil, Kerja Berat Tanpa BPJS #relawanMBG #anambas #tanpaBPJS kepri.batampos.co.id/ironi-r…",https://nitter.net/BatamPos/status/1972848618500689991#m
@deepTalk234,"Sep 30, 2025 · 2:18 AM UTC",Tujuan MBG biar anak2 ind terpenuhi gizinya kata Prabowo..anak orang kaya g perlu MBG. Msh bnyk sekolah pinggiran yg butuh MBG...phm gak bong cebong ? 😂😂,https://nitter.net/deepTalk234/status/1972848613522072017#m
@ikhwanuddin,"Sep 25, 2025 · 9:38 AM UTC",serahkan MBG ke ibuk-ibuk seprofesional dokter Tan titik. organisasi kok isinya bapak-bapak gila jabatan gak bisa kerja.,https://nitter.net/ikhwanuddin/status/1971147213024985240#m
@winterleelion,"Sep 29, 2025 · 3:10 PM UTC","wahai 02 voters yang masih denial dan suka 'ngatain' anak abah gak bisa terima kekalahan pemilu, LOOK AT YOUR CHOICE. dia yang petty, angka 11 diinget banget (til god knows when) & diungkit mulu INSTEAD OF BEBENAH gak heran keracunan mbg dilihatnya juga cuma sebagai ANGKA",https://nitter.net/winterleelion/status/1972680277823574109#m
@detikHealth,"Sep 30, 2025 · 2:19 AM UTC",Ikatan Dokter Anak Indonesia (IDAI) menyampaikan surat terbuka untuk Badan Gizi Nasional (BGN). Surat ini untuk menyikapi masalah Makan Bergizi Gratis (MBG) seperti insiden keracunan massal pada anak sekolah. >> 20.detik.com/detikupdate/202…,https://nitter.net/detikHealth/status/1972848662641615074#m
@MAS_pupung,"Sep 30, 2025 · 2:19 AM UTC","Waduuh ....bkn mslh kewajaran bos, Bandingkan sblm ada MBG apa ada anak yg keracunan....",https://nitter.net/MAS_pupung/status/1972848655301521748#m
@Memes_N_Genes,"Sep 30, 2025 · 2:19 AM UTC","Count me in.. Q4 is when conviction pays. $ESX , $MVRK and $MBG look like the next big thing with RWAs at the core. Lining up now so we can all win together.",https://nitter.net/Memes_N_Genes/status/1972848723077288218#m
@logos_id,"Sep 28, 2025 · 12:52 PM UTC","Bayangkan semua pers istana serempak menanyakan MBG, penangkapan aktivis yang masih berlangsung, dan seluruh masalah lain. Ketika kartu pers dicabut, media fokus ke masalah yang terjadi, tidak ada lagi yang dipaksa mengikuti narasi pemerintah. Civil disobedience.",https://nitter.net/logos_id/status/1972283201180889251#m
@siregar_najeges,"Sep 29, 2025 · 1:04 AM UTC",MBG melanggar HAM.‼️👇,https://nitter.net/siregar_najeges/status/1972467361728053467#m
@ctan666,"Sep 29, 2025 · 2:03 PM UTC","Mak jleb... Anak orang mampu/ibunya bisa masak, kebanyakan gak selera makan MBG, fakta...",https://nitter.net/ctan666/status/1972663502729798101#m
@Srik4ndiMuslim2,"Sep 30, 2025 · 2:19 AM UTC","Sebelum Jokowi ditangkap, MBG akan terus direcokin oleh gerombolan Jkw #DibayangiPeristiwaG30SPKI #DibayangiPeristiwaG30SPKI",https://nitter.net/Srik4ndiMuslim2/status/1972848830195609859#m
@temanamaste,"Sep 30, 2025 · 2:20 AM UTC",and make him eat mbg while doing it 😌,https://nitter.net/temanamaste/status/1972848887573696625#m
@tempodotco,"Sep 28, 2025 · 4:55 AM UTC","Lepas Tangan Dapur MBG Muncul gerakan dari para orang tua murid agar sekolah menolak makan bergizi gratis. Selain itu, ada dapur yang menawarkan sebagai penyedia makan siang gratis, tapi enggan bertanggung jawab jika muncul insiden keracunan. Simak selengkapnya Program Bocor Alus Politik di Channel Youtube Tempodotco dan Spotify #BocorAlusPolitik #PodcastBAP #PodcastTempo",https://nitter.net/tempodotco/status/1972163130995155122#m
@MurtadhaOne1,"Sep 29, 2025 · 1:11 PM UTC","Keren anak ibu ini Malu menerima MBG krn merasa tak berhak dan protes ke ibunya Kalo anaknya @corbuzier protes spt itu udah DITABOK sama ayahnya🤣 Katanya MBG buat anak2 yg makan cuma pake garam pak @prabowo , tapi knapa sekolah2 elite dapat juga?",https://nitter.net/MurtadhaOne1/status/1972650420427510113#m
@GayusTambunan2,"Sep 30, 2025 · 2:20 AM UTC","Gara2 iming2 MBG semua orang pilih dia jd presiden, tanpa peduli sejarah masa lalunya.",https://nitter.net/GayusTambunan2/status/1972848963608092935#m
