author,datetime,content,permalink
@dellaannissaa,"Sep 30, 2025 · 2:26 AM UTC","Perbaikan kualitas MBG hari ini adalah investasi jangka panjang untuk mencetak generasi sehat, cerdas, dan tangguh. Bukan sekadar makan, tapi memastikan masa depan anak Indonesia lebih cerah. #MBG #MBGKalteng #IndonesiaSehat #GenerasiEmas",https://nitter.net/dellaannissaa/status/1972850546668392920#m
@dellaannissaa,"Sep 30, 2025 · 2:26 AM UTC","Makan Bergizi Gratis (MBG) bukan hanya soal makan, tapi tentang masa depan! Gizi tercukupi, anak lebih sehat, semangat belajar meningkat, dan keamanan terjamin. Yuk, dukung MBG demi generasi cerdas dan kuat! #MBG #MBGKalteng #IndonesiaSehat",https://nitter.net/dellaannissaa/status/1972850578272452996#m
@APhasollek5073,"Sep 30, 2025 · 2:26 AM UTC","Omon ""yg gak ada habisnya.. Yg habis uang rakyat.. Danantara... Mbg.. Selepas ini apa lagi pak program nya",https://nitter.net/APhasollek5073/status/1972850571909660895#m
@bluenaary,"Sep 30, 2025 · 2:26 AM UTC","Halah, lu aja malah membuka peluang korupsi baru di mbg. Dipikir orang-orang yg dibawahnya, yg ditunjuk langsung sm dia itu suci semua kali ya.",https://nitter.net/bluenaary/status/1972850625722589281#m
@MurtadhaOne1,"Sep 29, 2025 · 9:21 AM UTC","Ada Keracunan di Program MBG Prabowo: ""Benar. Tapi itu cuma 0,00017%""",https://nitter.net/MurtadhaOne1/status/1972592519914704969#m
@JohnJontra,"Sep 30, 2025 · 2:27 AM UTC","wowo2.. ngomong & bertindak ga mikir dulu.. food estate, mbg, uud tni polri .. literasi lu rendah, ga jauh diatas gibran & wiwi, tp pembantu2 mu memperlakukan mu kayak raja.. tambah amburadullah negara",https://nitter.net/JohnJontra/status/1972850654050988055#m
@OKTORANKRI,"Sep 30, 2025 · 2:27 AM UTC","MBG salah sasaran.. Sekolah elit ga perlu MBG harusnya.. Saran kalo program ini tetep di lanjut harus ada kontrol yg ketat di Dapur MBG, atau buka saja Dapur MBG di sekolah masing2 biar jelas kontrol pengawasannya.. Belajar lah dr kejadian ini.",https://nitter.net/OKTORANKRI/status/1972850697994645676#m
@rasimagetan,"Sep 30, 2025 · 2:27 AM UTC","Tak Suka Nasi, Dewanda Dapat Menu Kentang di Menu MBG. rasifm.co.id/tak-suka-nasi-d…",https://nitter.net/rasimagetan/status/1972850682941378947#m
@mikuroQ,"Sep 29, 2025 · 12:18 PM UTC","Presiden Prabowo mengatakan, MBG yg keracunan hanya 0,00017 Persen Pak tapi itu nyawa bkn ilmu ekonomi yg bisa pake ilmu statistik Harusnya 0,00000 % krn satu nyawa itu adalah kesayangan orang tuanya Gedek banget sama pemerintahan yg skrg tone deaf😢😭",https://nitter.net/mikuroQ/status/1972637010944041049#m
@PaltiHutabarat,"Sep 28, 2025 · 3:49 AM UTC",Benar ternyata gaes dicabut sama Istana gara-gara bertanya soal MBG yang jadi keresahan rakyat.. Dah ga benar ini negara..,https://nitter.net/PaltiHutabarat/status/1972146579630084577#m
@RikeSants,"Sep 30, 2025 · 2:27 AM UTC",Apakah benar MBG sudah dibagikan sebanyak 5M porsi lebih ? Berapa jumlah siswa sekolah dari SD hingga SMU atau sederajat @grok ?,https://nitter.net/RikeSants/status/1972850741925802160#m
@zanatul_91,"Sep 29, 2025 · 5:44 AM UTC","Anak-anak pergi ke sekolah untuk meningkatkan kemampuan belajar mereka, bukan untuk duduk dan menyambut MBG dengan was-was. Begitupun para guru, mencicipi MBG bukan tugas mereka, karena ditengah ancaman keracunan, mencicipi bisa membahayakan keselamatan dan kesehatan kerja guru (UU 14/2005).",https://nitter.net/zanatul_91/status/1972537980272472333#m
@BBCIndonesia,"Sep 26, 2025 · 5:10 AM UTC","Ini adalah sebaran kasus keracunan MBG yang terjadi sejak program ini dimulai pada Januari silam. Di tengah maraknya kasus keracunan massal, kelompok masyarakat sipil menyerukan agar MBG dihentikan sementara atau anggarannya dialihkan untuk pendidikan. bbc.com/indonesia/articles/c…",https://nitter.net/BBCIndonesia/status/1971442159980261662#m
@NenkMonica,"Sep 29, 2025 · 10:51 AM UTC","DUGAAN KERACUNAN MBG HARI INI 29/09/2025 TERJADI DI CIAMIS JABAR. Program Makan Bergizi Gratis (MBG) kembali jadi sorotan! Kali ini, puluhan siswa SMPN 4 Pamarican, Ds Sukajadi, Kec Pamarican, Kab Ciamis, Jawa Barat, diduga keracunan setelah menyantap menu MBG, Senin (29/9/2025).",https://nitter.net/NenkMonica/status/1972615149786956035#m
@shasimi99,"Sep 30, 2025 · 2:31 AM UTC",Kalo yg ini Mbg yg seharga triliunan /harinya,https://nitter.net/shasimi99/status/1972851800110997944#m
@lallonara,"Sep 30, 2025 · 2:31 AM UTC",i love MBG M = Mall B = Bali G = Galeria @uto9j 😭😭😭😭😭😭😭😭,https://nitter.net/lallonara/status/1972851798647136628#m
@briankhrisna,"Sep 26, 2025 · 1:35 AM UTC",ini baru MBG,https://nitter.net/briankhrisna/status/1971388222132634084#m
@P3gEl,"Sep 28, 2025 · 9:20 AM UTC",Istana cabut Id card jurnalis CNN gara-2 tanya soal MBG. Segitunyakah?,https://nitter.net/P3gEl/status/1972229795670036653#m
@Ary_PrasKe2,"Sep 29, 2025 · 4:17 AM UTC","Orang Tua Mana Yang Gak Panik!!! Anak Berangkat Sekolah Sehat, Tiba-tiba Di Telpon Anaknya Di Rumah Sakit Muntah-muntah Karena Proyek MBG!!! Mereka Minta STOP Proyek MBG!!!",https://nitter.net/Ary_PrasKe2/status/1972516012420698375#m
@quintta1217,"Sep 29, 2025 · 6:23 AM UTC",Konsep program ini tidak melibatkan sekolah yg lebih tahu kondisi siswa. Tapi sekolah diberikan beban berlebih dari resiko program ini. Yg terlibat justru politisi dan yayasan pencetus program MBG itu sendiri beserta konco²nya. ----------------------------------- Senin Apel Pagi,https://nitter.net/quintta1217/status/1972547672293978208#m
@seruanhat1ku,"Sep 30, 2025 · 2:31 AM UTC",Semoga MBG terus berlanjut dgn segala perbaikannya. Setelah mendapat arahan dari presiden Senin Pagii ☕☕✨,https://nitter.net/seruanhat1ku/status/1972851667868823898#m
@VIVAcoid,"Sep 30, 2025 · 2:30 AM UTC",Guru Penanggung Jawab MBG di Sekolah Dapat Insentif Rp 100 Ribu per Hari viva.co.id/berita/nasional/1…,https://nitter.net/VIVAcoid/status/1972851634842779859#m
@quintta1217,"Sep 30, 2025 · 1:44 AM UTC","Provinsi yg identik dg ketertinggalan ternyata jauh lebih cerdas. Dg kekayaan SDA yg berlimpah mereka tidak butuh MBG, MBG sama halnya menghina mereka yg SDA sudah dikeruk dg brutal dan tidak pernah kembali pada mereka! ©©©©©©©©©©©©©©©©© Prabowo Luhut Pagii PARK JIMIN",https://nitter.net/quintta1217/status/1972839879425032434#m
@Mjuncht,"Sep 30, 2025 · 2:30 AM UTC","Dan sekolah² di kampung banyak yang tidak dapat, bahkan sekolah di pelosok hampir merata tidak dapat MBG kecuali di kota kabupatennya. Program populis ini sudahlah berantakan eh tidak tepat sasaran pula.",https://nitter.net/Mjuncht/status/1972851603817541892#m
@suprapti_y87471,"Sep 30, 2025 · 2:30 AM UTC","Yah , memang betul bang Adian Napitupulu ! Sebenarnya program MBG juga bukan problem bangsa ini . Lulus dapat kerja , anak sekolah mampu bayar SPP sampai PT !",https://nitter.net/suprapti_y87471/status/1972851596817289245#m
@GunRomli,"Sep 29, 2025 · 5:04 AM UTC","Aneh mereka. MBG emang uda jelek, keracunan di mana-mana, kritik meluas, dr semua lapisan, kok malah nyalahin PDI Perjuangan",https://nitter.net/GunRomli/status/1972527817255776277#m
@RikeSants,"Sep 30, 2025 · 2:31 AM UTC",Pelaksanaan MBG benar-benar harus dievaluasi jangan sampai hanya digunakan Nafsu sekedar dapat proyek akhirnya asal-asalan sampai sekolah Elit mendapat jatah MBG @Gerindra,https://nitter.net/RikeSants/status/1972851839826862543#m
@txtdarimonsakti,"Sep 30, 2025 · 2:31 AM UTC","Sekolah lagi ajah, kan enak dpt mbg. Bisa request menu burger isi karton warna pink😍",https://nitter.net/txtdarimonsakti/status/1972851837041881146#m
@mx00711,"Sep 30, 2025 · 2:32 AM UTC",MBG kafir ateis @agama_nusantara @BayuAngora @sakkusaitna @Valhallaah @spektrumku @Kappa_2023 @bnsphrxyzzz @RefublikAteis @iphone7decoco @Sentjoko @PaijoKentirr @tepig_pignite @SDM_lowliteracy @balaputra_deva @EkalawyaJaya @JohnAarivEd @FaktaBerita89 tiktok.com/@adi.tiktok.love/…,https://nitter.net/mx00711/status/1972851941320605845#m
@harianmuriacom,"Sep 30, 2025 · 2:32 AM UTC","Hasil Lab: Menu MBG di Jepara Aman, Tak Ada Bakteri Penyebab Keracunan harianmuria.com/news/hasil-l…",https://nitter.net/harianmuriacom/status/1972851928980988288#m
@zanatul_91,"Sep 21, 2025 · 3:31 AM UTC","EVALUASI MBG! ⛔ Guru repot mengatur MBG: -membagikan -mengikat -mengumpulkan -memastikan habis -dipaksa mencicipi -mengganggu jam ajar ⛔ sekolah terbebani tanggung jawab: -jika tempat makan hilang -jika makanan tersisa -jika keracunan ⛔ Orang Tua: - tidak ada jaminan sehat - resiko anaknya keracunan ⛔Siswa beresiko: - tidak enak -basi -keracunan -terganggu belajar karena ketiganya Kenapa perlu dihentikan: Ketika terjadi MBG basi/keracunan: ✅ tidak ada tindak lanjut ✅ tidak transparan ✅ tidak ada penjelasan ✅ tidak memperlihatkan adanya sanksi Masyarakat/ orang tua, sekolah, guru dan siswa adalah pihak yang paling dirugikan. Padahal keempatnya adalah penerima program yang tidak terlibat dalam proses produksi MBG. Makan bergizi adalah mandat kementerian kesehatan, dan makan sekolah (school meals) adalah kegiatan penunjang di sekolah dalam mendukung pembelajaran. Ketika MBG malah beracun dan mengganggu proses belajar di sekolah, maka MBG harus dihentikan karena sistem pengawasan, dan mekanisme yang diatur kementerian kesehatan tidak dijalankan. Sampai detik ini BGN belum pernah mengumumkan penyelidikan atas keracunan MBG, kemudian memberikan sanksi kepada pihak-pihak yang bersalah. Sementara siswa, guru dan sekolah selalu dipersalahkan atas keracunan masal. Jika ini diteruskan, tanpa pengawalan, pengawasan, dan evaluasi, kami khawatir keracunan akan semakin membesar. Pemerintah harus bertindak cepat sebelum matahari terbit besok pagi, ketika MBG datang ke sekolah. Ingat, MBG datang ke sekolah untuk membantu anak-anak kita belajar, melalui tambahan gizi, bukan tambahan racun.",https://nitter.net/zanatul_91/status/1969605343656493220#m
@AqiaqiH,"Sep 26, 2025 · 4:37 PM UTC","Kalau memang mau memberi MBG mulailah dari Daerah 3T (wilayah Tertinggal, Terdepan, dan Terluar di Indonesia yang memiliki kondisi kurang berkembang dalam berbagai aspek, seperti ekonomi, sosial, dan infrastruktur, dibandingkan daerah lain.",https://nitter.net/AqiaqiH/status/1971615103008334299#m
@blankpaperbook,"Sep 30, 2025 · 2:32 AM UTC","no no no no no, 1,2 T/hari itu lebih banyak masuk kantong panitia gak sih? soalnya liat sendiri kan makanan yg dikasih ke anak-anak menunya kek apa? gizi gak ada, dan porsi dikit. MBG = yg penting packing-bagi-makan",https://nitter.net/blankpaperbook/status/1972852108866330908#m
@kompascom,"Sep 30, 2025 · 2:32 AM UTC","“Kewaspadaan seluruh tim yang terlibat dalam program itu, mesti dijaga mengingat program MBG juga mampu meningkatkan perekonomian daerah. Di Kabupaten Bandung diperkirakan perputaran ekonomi dari MBG ini bisa mencapai Rp 5 miliar per hari apabila berjalan optimal,” ujar Bupati Bandung Dadang Supriatna. Baca di sini: bandung.kompas.com/read/2025… / #Bandung #MakanBergiziGratis",https://nitter.net/kompascom/status/1972852082131742745#m
@Nicho_Silalahi,"Sep 27, 2025 · 7:00 AM UTC","Kalau Prof @bang_dasco sudah turun artinya Presiden @prabowo sudah marah terhadap pelaksanaan ""Makan Bergizi Gratis"" yang diduga kuat ada pihak melakukan SABOTASE sehingga menjadi ""Makan Beracun Gratis"". Terlepas dari itu, Setiap Prof @bang_dasco mengeluarkan Statment selalu saja membuat Adem Republik, tidak seperti pejabat Jahanam yang buat kisruh Republik dengan statment tololnya.",https://nitter.net/Nicho_Silalahi/status/1971832232727007620#m
@rizkabukanriska,"Sep 29, 2025 · 1:36 PM UTC","you could never @prabowo. all you do is siding with a genocidal leaders and never acknowledge the genocide that has been happening in Palestine since 1978. i mean, you can't even acknowledge the MBG disaster in your own country, how could you acknowledge the Palestine genocide?",https://nitter.net/rizkabukanriska/status/1972656786483384439#m
@HumorJonTampan,"Sep 29, 2025 · 2:21 PM UTC","INGATKAH ANDA ""Sikap tegas Letkol (Tit) Deddy Corbuzier @corbuzier terhadap pihak yg mempersoalkan menu MBG. Dia juga membawa serta orang terdekatnya utk memperkuat argumennya yg sangat luar biasa sekali, hingga publik pun dibuat terkagum-kagum oleh kharismanya yg elok!"" #Ngik",https://nitter.net/HumorJonTampan/status/1972668167592792301#m
@SaintZionist,"Sep 29, 2025 · 11:45 PM UTC","Panah MBG salah sasaran Pak @prabowo , BGN harusnya lebih selektif apalagi dananya terbatas. Utamakan daerah yg paling membutuhkan lah @Gerindra",https://nitter.net/SaintZionist/status/1972810057437106373#m
@vidalunaaa,"Sep 30, 2025 · 2:33 AM UTC","Jangankan sekolah swasta elit yg isinya wong sugih, anak sekolah negeri aja banyak yg gak mau makan mbg. Cuma ngambil susu sama buahnya aja. Lauk mamak tetap yg terbaik.",https://nitter.net/vidalunaaa/status/1972852150847086948#m
@andhikaathma,"Sep 30, 2025 · 2:32 AM UTC","Hadeuhhh... dah bener tuh ibu². gw jg sebagai ortu ga akan ngijinin anak gw makan MBG. Masalahnya taruhannya nyawa... Anak kita sekolahin, rawat dgn bener, malah diracun MBG",https://nitter.net/andhikaathma/status/1972852124846637268#m
@PaltiWest,"Sep 29, 2025 · 9:54 PM UTC","Kronologis Pencabutan ID Istana Diana Valencia Karena Bertanya Soal MBG.. Alasannya karena MBG di luar konteks kunjungan Presiden Prabowo Subianto, padahal di luar konteks pun, sebenarnya isu MBG layak ditanya karena banyak anak Indonesia keracunan..",https://nitter.net/PaltiWest/status/1972782069836317156#m
@KntlKuda_69,"Sep 30, 2025 · 2:33 AM UTC","gorengan ""MBG"" ""keracunan"" ""Prabowo"" ? kesukaanku 😋😋😋",https://nitter.net/KntlKuda_69/status/1972852205867954214#m
@NyitNyitt333,"Sep 30, 2025 · 2:33 AM UTC",Yang terbaik untuk MBG 🔥🔥 Setelah Senin lanjut Selasa Pagii,https://nitter.net/NyitNyitt333/status/1972852186733490628#m
@ElisJulyanti,"Sep 30, 2025 · 2:33 AM UTC","Dih, lu salah nangkep deh. Ada juga anak2 Al Izzah makannya jadi down grade karena biasanya mereka dapet makanan yg gizinya lebih baik. Kalau MBG itu untuk anak yg kurang mencukupi gizinya biar up grade gizi makanya dikasih MBG. Ngerti ga sih? Karena MBG juga gizinya pas2an.",https://nitter.net/ElisJulyanti/status/1972852302227910909#m
@ardi_anz4,"Sep 28, 2025 · 5:31 AM UTC",Kenapa MBG sangat di butuhkan masyarakat? Video ini memberi fakta betapa pentingnya program MBG ini Mgkn di sana sini masih ada kendalala dlm pelaksanaan nya. Itu wajar dan evaluasi memang di perlukan. Tp mari kita dukung trs program MBG ini krn masyarakat sangat membutuhkan,https://nitter.net/ardi_anz4/status/1972172175307411833#m
@RikeSants,"Sep 30, 2025 · 2:33 AM UTC",Sudah berapa hari MBG dibagikan @grok,https://nitter.net/RikeSants/status/1972852244480721120#m
@Kirie_kun,"Sep 30, 2025 · 2:33 AM UTC","guru sudah disuruh ngajar, disuruh ngitung nampan mbg ga boleh kurang, eh disuruh ngawasin pulak.",https://nitter.net/Kirie_kun/status/1972852370339139996#m
@bekalicky,"Sep 29, 2025 · 5:20 AM UTC",Cak Imin Sebut MBG Jadi Solusi Agar Anak Tak Banyak Komsumsi MSG Lain kali pakai 2 foto ini aja min @detikcom lebih tampak aura manipulatif.,https://nitter.net/bekalicky/status/1972531841816203635#m
@AnaiBunyi,"Sep 23, 2025 · 10:33 AM UTC",Masih terjadi keracunan karena komsumsi MBG,https://nitter.net/AnaiBunyi/status/1970436352304181266#m
@SumandoGaek,"Sep 25, 2025 · 7:18 AM UTC","🛑MBG DIHENTIKAN ?? Rasanya sulit. Kenapa? Terlalu banyak kepentingan didalam program (project) MBG ini. KLB keracunan, ompreng haram, tuntutan masyarakat tak cukup bikin project ini dihentikan. Akar utama (mungkin?) salah satunya ini 👇🏼, PS & sirkel ada didalamnya.😶",https://nitter.net/SumandoGaek/status/1971111997455651209#m
@anns931,"Sep 30, 2025 · 2:34 AM UTC",Dan MBG nya berisi MSG,https://nitter.net/anns931/status/1972852422893883454#m
@BangJhonn__,"Sep 30, 2025 · 2:33 AM UTC","Yok pak @prabowo dikaji ulang, mubazir toh pak duit nya. Rupiah Mbg di satu sekolah dan dikalikan satu bulan mungkin uang nya bisa renovasi sekolah yang di pelosok2 loh pak",https://nitter.net/BangJhonn__/status/1972852386793464258#m
@CeritaKita6924,"Sep 23, 2025 · 10:28 AM UTC",Kecarunan MBG,https://nitter.net/CeritaKita6924/status/1970435144134918543#m
@overeasy_egg,"Sep 30, 2025 · 2:34 AM UTC","Menurut aku argumen pro MBG ini gak ada yg cerdas sih. Tp bebal bgt susah dikasi tau, dipikir kita2 kritik ini dari personal hate.",https://nitter.net/overeasy_egg/status/1972852472634134569#m
@saraf1325,"Sep 30, 2025 · 2:34 AM UTC",ngapain juga sekolah elite nerima mbg. kan khusus untuk yang membutuhkan. hadeh,https://nitter.net/saraf1325/status/1972852469987463257#m
@KoboyKeprok,"Sep 30, 2025 · 2:34 AM UTC","Ngga yakin sih alesanya seperti yg dikemukakan ibu itu, Paling jg takut keracunan dan MBG yg ga bergizi2 amat...😂Tp apapun alasanya harusnya siapapun boleh menolak, itu hak kok bukan kewajiban.",https://nitter.net/KoboyKeprok/status/1972852466548183253#m
@bhinneka_news,"Sep 30, 2025 · 2:34 AM UTC",Tidak boleh ada anak Indonesia yang tertinggal hanya karena akses makanan bergizi #KomitmenPemerintahJagaMBG #MBG #IndoensiaEmas2045,https://nitter.net/bhinneka_news/status/1972852537255752172#m
@neVerAl0nely__,"Sep 29, 2025 · 10:44 AM UTC","Puluhan siswa SMPN 4 Pamarican, Desa Sukajadi, Kecamatan Pamarican, Kabupaten Ciamis, Jawa Barat, keracunan usai menyantap menu Makan Bergizi Gratis (MBG), Senin (29/9/2025). Pantauan di lapangan, sejumlah siswa dari satu kelas terlihat menunjukkan gejala keracunan, seperti sakit perut dan lemas. Petugas medis dari Puskesmas Kertahayu dan Pamarican langsung memberikan pertolongan, bahkan dua ambulans dikerahkan untuk mengevakuasi para siswa. Selain itu, ambulans desa juga turut membantu proses evakuasi. Hingga berita ini diunggah, belum ada keterangan resmi mengenai jumlah pasti siswa yang terdampak. Namun pihak sekolah memastikan keracunan hanya terjadi pada satu kelas. Hal ini lantaran distribusi MBG baru mencukupi untuk satu kelas, sementara kelas lainnya belum menerima jatah makanan. ""Menu makanan hari ini daging ayam dan sayuran. Daging ayamnya memang agak bau, tapi tidak terlalu menyengat. Setelah makan, banyak teman yang mengeluh sakit perut,"" ungkap salah seorang murid via radar_cianjur",https://nitter.net/neVerAl0nely__/status/1972613463206986206#m
@MirzaIskandar15,"Sep 30, 2025 · 2:34 AM UTC",Bener² kacau sekolah elite jelas² gak butuh MBG,https://nitter.net/MirzaIskandar15/status/1972852518326845516#m
@bhinneka_news,"Sep 30, 2025 · 2:34 AM UTC","Lewat MBG, kita bangun masa depan Indonesia yang sehat, kuat, dan berdaya saing global #KomitmenPemerintahJagaMBG #MBG #IndoensiaEmas2045",https://nitter.net/bhinneka_news/status/1972852513650139199#m
@BoardGeniuses,"Sep 30, 2025 · 12:08 AM UTC",🚨BREAKING 🚨 MBG has learned that Nick Saban was flown into Fayetteville Saturday night to “chat” with #Arkansas officials. #WPS,https://nitter.net/BoardGeniuses/status/1972815773241409785#m
@muchlis_ar,"Sep 30, 2025 · 1:39 AM UTC","Kenapa anak2 siswa sekolah elit juga dapet MBG? Ini pertanyaan wajar. Yg nanya makek akal sehat. Yg bikin program jelas gak mau jawab. Karena tujuan sebenarnya program ini: KAMPANYE. Jadi, gak peduli mau orang kaya, mau orang susah. Semua dikasih makan gratis. Kampanye, 1,2 Triliun per hari.",https://nitter.net/muchlis_ar/status/1972838798339006850#m
@_W_T_T_,"Sep 30, 2025 · 2:37 AM UTC","Ingat waktu konsul ke dokter bedah jantung. Jawabannya 99% operasi berhasil, tapi kalau soal NYAWA, tidak ada yg namanya statistik. Semoga pak @prabowo sadar, bahwa NYAWA bukan taruhan. MBG adalah program bagus, tapi menjadi tidak ketika jadi PROYEK.",https://nitter.net/_W_T_T_/status/1972853156209193141#m
@Kanseulir,"Sep 28, 2025 · 4:18 PM UTC","Innalillahi... Stop MBG!! Harusnya program yang dipakai yaitu pendidikan gratis bagi sekolah negeri maupun swasta. Sehingga rakyat makin pinter, bukan rakyat makin keracunan Era Rejim Koplak....",https://nitter.net/Kanseulir/status/1972335132381220929#m
@pendslm,"Sep 30, 2025 · 2:36 AM UTC",Kalo di sekolah udah ada catering bukankah lebih baik kerjasama dgn sekolah itu buat ngelanjutin program MBG nya Miss,https://nitter.net/pendslm/status/1972853132028977532#m
@anitasari6675,"Sep 30, 2025 · 2:36 AM UTC","Seneng banget pembenci Pemerintah pengen MBG dihentikan, kalian ga bahagia ya lihat anak - anak, orang tua dan masyarakat dapat manfaat MBG ?",https://nitter.net/anitasari6675/status/1972853081764508057#m
@ArnoldPoernomo,"Sep 29, 2025 · 5:33 AM UTC",Untuk dapur MBG bisa ga stop ngonten2 tapi focus food handling dan kebersihan dulu? Liatin konten2 kalian jadi bikin emosi. - glove habis pegang lauk pegang buah dll - kardus di pake supaya lantai ga licin - di dapur pake sandal jepit Dll,https://nitter.net/ArnoldPoernomo/status/1972535272761127162#m
@abu_waras,"Sep 27, 2025 · 1:31 AM UTC","Bapak ini Wakil Menteri di negara mana, koq engga tahu masalah anak keracunan MBG?",https://nitter.net/abu_waras/status/1971749444208210420#m
@INRI2025,"Sep 30, 2025 · 2:36 AM UTC",5000 korban Keracunan MBG gak mampu membuat mereka RESIGN BEM SI BEM UI BEM ITB BEM UGM UniversitasIndonesia Universitas Brawijaya Universitas Diponegoro Universitas Padjadjaran Institut Teknologi Bandung DPR RI Prabowo Subianto Forum Purnawirawan TNI,https://nitter.net/INRI2025/status/1972853040286924985#m
@NarasiNewsroom,"Sep 29, 2025 · 6:13 AM UTC","Istana Kepresidenan mencabut ID Pers Istana (ID Wartawan Istana) milik jurnalis CNN Indonesia, Diana Valencia, usai ia bertanya soal kasus keracunan dalam program Makan Bergizi Gratis (MBG) kepada Presiden Prabowo Subianto. Aksi itu dikecam organisasi pers termasuk juga Dewan Pers. Belakangan, ID itu dikembalikan setelah Istana bertemu dengan perwakilan CNN Indonesia. BPMI Setpres mengakui kesalahan mereka dan berjanji peristiwa serupa tak akan terulang di masa mendatang.",https://nitter.net/NarasiNewsroom/status/1972545129237086297#m
@Rafhael0999,"Sep 30, 2025 · 2:37 AM UTC","Evaluasi pak, jangan nunggu dapur MBG di bakar masaa,",https://nitter.net/Rafhael0999/status/1972853169530310700#m
@BBCIndonesia,"Sep 28, 2025 · 6:44 AM UTC","Sekelompok ibu di Yogyakarta menggelar aksi pukul panci untuk mendesak pemerintah menghentikan program Makan Bergizi Gratis (MBG). ""Kalau pemerintah tidak menyetop dan mengevaluasi program yang grusa-grusu ini, maka ibu-ibu akan tetap berada di garda terdepan,"" kata orator aksi.",https://nitter.net/BBCIndonesia/status/1972190634279641572#m
@narkosun,"Sep 30, 2025 · 2:37 AM UTC",Sekolah elit kok ada MBG.,https://nitter.net/narkosun/status/1972853221950730615#m
@apyukedo,"Sep 30, 2025 · 2:37 AM UTC","Kelas isi 31 orang, ukuran 7x7, kedatengan MBG, barengan keringat anak-anak, pusing bgttttt",https://nitter.net/apyukedo/status/1972853274304037291#m
@CISDI_ID,"Sep 30, 2025 · 2:05 AM UTC","Kemarin, di Selamat Malam Indonesia @KompasTV , Mba @DiahSaminarsih kembali menekankan soal kolaborasi lintas sektor kalau mau MBG ini berjalan apik. Terus Mba Diah juga lagi2 menekankan soal 1 kasus=1 korban=1 nyawa. Tidak elok rasanya bermain-main dengan statistik.",https://nitter.net/CISDI_ID/status/1972845217763242411#m
@lalapouuuu4,"Sep 30, 2025 · 2:37 AM UTC",pls ga expect ini mbg di sekolah kuu 😭😭😭,https://nitter.net/lalapouuuu4/status/1972853259602948134#m
@molidahm,"Sep 30, 2025 · 2:37 AM UTC",Lagian sekolah elite ngapain dikasi MBG? Aneh bin ajaib.,https://nitter.net/molidahm/status/1972853250505494708#m
@nowyoucatchme,"Sep 28, 2025 · 12:03 PM UTC","MBG tuh makan siang kan ya? Ya kalo begitu hadirkan menu lengkap tinggi protein dan karbo dong 😭😭 Kalo cuman sandwich, pengangguran yg ga ngapa2in pun jg bakal lemes. Kok malah disaranin sarapan nasi, lalu siang makan sandwich. Pemikiran orang ga punya otak ini namanya",https://nitter.net/nowyoucatchme/status/1972270891414516025#m
@pramudiya165,"Sep 30, 2025 · 2:37 AM UTC",MBG lagi MBG lagi Kepala BGN nya cuman mesam mesem aja apa nunggu jatuh korban dan gelombang NEPAL tak terbendung baru loe nangis,https://nitter.net/pramudiya165/status/1972853310756704456#m
@yitnobbs,"Sep 30, 2025 · 2:38 AM UTC","Orang yg sengaja mempertahankan MBG dengan dalih perbaikan gizi generasi tapi tanpa pengawasan yg ketat apa itu Bukan bangsat, Penghianat. Orang yg sengaja mempertahankan MBG agar bs korupsi, MONOPOLI DAN KORUPSI BERJAMAAH MENGATASNAMAKAN RAKYAT, NDASMUU DANCOK.!!!",https://nitter.net/yitnobbs/status/1972853416595767647#m
@bengkeldodo,"Sep 29, 2025 · 8:33 AM UTC","PUNYA LAPORAN SOAL MBG, SILA HUBUNGI NO DIBAWAH 088293800268 (Operator 1) 088293800376 (Operator 2) Setiap laporan akan diverifikasi dan ditindaklanjuti sesuai mekanisme yang berlaku, Gambar hanya pemanis",https://nitter.net/bengkeldodo/status/1972580592996024606#m
@iinrochmah,"Sep 30, 2025 · 2:38 AM UTC","gausah ada MBG kalo gitu, beliin aja nasi uduk 7rb kalo ala kadarnya gitu yaa 🤣🤣",https://nitter.net/iinrochmah/status/1972853483687829711#m
@TaufikWidiarto,"Sep 30, 2025 · 2:38 AM UTC","Bukan sombong bro.... Beliau mengatakan seperti itu untuk menekankan disana itu orang orang mampu, gak perlu MBG... Ingat tujuan Prabowo bikin MBG itu apa?",https://nitter.net/TaufikWidiarto/status/1972853475043320277#m
@nksthi,"Sep 30, 2025 · 2:13 AM UTC","Anggap harga tempe goreng 1000 rupiah. Penerima MBG 30 juta orang/hari. Total anggaran tempe/hari: 1000 rupiah x 30 juta = 30 miliar. Kalo menu MBG nggak pake tempe sehariiiii aja, kontingen SEA Games berpotensi dapet tambahan 30 miliar. 😊",https://nitter.net/nksthi/status/1972847154302771616#m
